Titulo,Autor,Editor,TituloBusqueda,cluster id,confidence
,fernando alonso alonso,"gredos, s.a.",,15,0.400133741
quadres de viatges,,edicions 62,quadres de viatges,16,0.31613081
,jose ma comelles esteban,"edicions 62, s.a.",,16,0.383512783
el cas galton,,"edicions 62, s.a.",el cas galton,16,0.318366585
,,"edicions 62, s.a.",,16,0.399828609
,carmen arnau faidella,"edicions 62, s.a.",,16,0.383512783
super short-stories,,"edicions 62, s.a.",super short-stories,16,0.319995757
,antoni serra bauca,"molino, s.l.",,17,0.400133741
el gran libro de clasicos para los mas pequenos,,"molino, s.l.",el gran libro de clasicos para los mas pequenos,17,0.400133741
,,"narcea, s.a. de ediciones",,18,0.400133759
,,"narcea, s.a. de ediciones",,18,0.400133759
,,serv. publ. universidad la laguna,,19,0.400133741
,,serv. publ. universidad la laguna,,19,0.400133741
,,serv. publ. universidad la laguna,,19,0.400133741
,,serv. publ. univ. cordoba,,20,0.400133741
,,serv. publ. univ. cordoba,,20,0.400133741
,,serv. publ. univ. cordoba,,20,0.400133741
,,serv. publ. univ. cordoba,,20,0.400133741
propiedad horizontal y aprovechamiento por turno de bienes inmuebles,angel luis ramos carboneros,"biblioteca nueva, s.l.",propiedad horizontal y aprovechamiento por turno de bienes inmuebles,21,0.400133741
,,"biblioteca nueva, s.l.",,21,0.400133741
,,"axel springer, s.l.",,22,0.400133741
melmoth el errabundo,,"axel springer, s.l.",melmoth el errabundo,22,0.331218756
lur entziklopedia tematikoa. (euskal herriko atlas historikoa),aintzane atela gurruchaga,"axel springer, s.l.",lur entziklopedia tematikoa. (euskal herriko atlas historikoa),22,0.331218756
,,"tusquets editores, s.a.",,23,0.400133759
ligeros libertinajes sataficos,mercedes abad calvo,"tusquets editores, s.a.",ligeros libertinajes sataficos,23,0.400133759
,jesus maria olaizola lazkano,"elkar, s.l.",,24,0.400133759
,,"elkar, s.l.",,24,0.400133759
,miquel creus i munoz,"empuries, s.l.",,25,0.400133759
harry potter i el calze de foc,,"empuries, s.l.",harry potter i el calze de foc,25,0.400133759
abel matutes. de cacique local a ministro de aznar,"cerda subirachs, juan","dictext, s.l.",abel matutes. de cacique local a ministro de aznar,26,1
la movilidad transnacional de trabajadores,gloria esteban de la rosa cristobal molina navarrete,"editorial comares, s.l.",la movilidad transnacional de trabajadores,27,1
glaciacion genil,manuel de pinedo garcia,universidad centro americana san jose,glaciacion genil,28,1
"pedro arrupe, unesplosione nella chiesa",pedro miguel lamet,ancora,"pedro arrupe, unesplosione nella chiesa",29,1
"pedro arrupe, unesplosione nella chiesa",pedro miguel lamet,ancora,"pedro arrupe, unesplosione nella chiesa",30,1
availacao das escolas,"santos guerra, miguel angel",asa,availacao das escolas,31,1
a escola que aprende,miguel santos guerra,asa,a escola que aprende,32,1
entre bastidores,miguel santos guerra,asa,entre bastidores,33,1
entre parentesis,"alvarez, isabel",abecedaria,entre parentesis,34,1
entre parentesis,"alvarez, isabel",abecedaria,entre parentesis,35,1
pepe azorin. chronique dune invention,jose angel blasco carrascosa,espace croix baragnon,pepe azorin. chronique dune invention,36,1
wences rambla. pinturas,juan angel blasco carrascosa,sala 6 de febrero,wences rambla. pinturas,37,1
atipica,maria jose marco,galeria edgar neville,atipica,38,1
cesar gaya: atravesando el agua,juan angel blasco carrascosa,caja rural de torrent,cesar gaya: atravesando el agua,39,1
horacio silva. paisajes misteriosos,juan angel blasco carrascosa,,horacio silva. paisajes misteriosos,40,1
